Inhibitor type	Inhibitor
Salt	SodiumGlyoxylate
Aldehyde	HMF5
Aldehyde	Furfural
Cationic toxin/IL	EMIMCl
Cationic toxin/IL	CV
Cationic toxin/IL	NAO
Cationic toxin/IL	BMIMCl
Pyrazine	Dimethylpyrazine26
Solvent	Methylimidazole45
Solvent	DMSO
Solvent	GVL
Alcohol	EtOH
Alcohol	Isobutanol
Terpene	MBO
Fungicide	Mycobutanil
Small acid	LevulinicAcid
Small acid	Methylglyoxal
Phenolic acid	BenzoicAcid
Phenolic acid	AzelaicAcid
Phenolic acid	OHBenzoicAcid4
Phenolic acid	CaffeicAcid
Phenolic acid	CinnamicAcid
Phenolic acid	CoumaricAcid
Phenolic acid	FerulicAcid
Phenolic acid	SinapicAcid
Phenolic acid	SyringicAcid
Phenolic acid	VanillicAcid
Phenone	OHAcetophenone4
Phenone	AcetoSyringone
Phenone	Acetovanillone
Phenolic amide	CoumaroylAmide
Phenolic amide	FeruloylAmide
Phenolic aldehyde	OHBenzaldehyde4
Phenolic aldehyde	Syringaldehyde
Phenolic aldehyde	Vanillin
NA	Dipyridyl22
Solvent	Dimethylimidazole24
Solvent	Methylimidazole2
NA	Acetamide
Fungicide	Benomyl
