Inhibitor	Direction	Deletion
1	22Dipyridyl	up	YPR172W
2	22Dipyridyl	up	YLL055W
3	22Dipyridyl	up	YLR242C
4	22Dipyridyl	up	YOR309C
5	22Dipyridyl	up	YIL076W
6	22Dipyridyl	up	YOL093W
7	22Dipyridyl	up	YKR099W
8	22Dipyridyl	up	YOR114W
9	22Dipyridyl	up	YPR199C
10	22Dipyridyl	up	YOR016C
11	22Dipyridyl	up	YCR076C
12	22Dipyridyl	up	YJR088C
13	22Dipyridyl	up	YDR185C
14	22Dipyridyl	up	YBL046W
15	22Dipyridyl	up	YLR338W
16	22Dipyridyl	up	YGR022C
17	22Dipyridyl	up	YNR018W
18	22Dipyridyl	up	YEL039C
19	22Dipyridyl	up	YMR141C
20	22Dipyridyl	up	YJL089W
21	22Dipyridyl	up	YDR491C
22	22Dipyridyl	up	YGR126W
23	22Dipyridyl	up	YDL019C
24	22Dipyridyl	up	YPL099C
25	22Dipyridyl	up	YNR064C
26	22Dipyridyl	up	YLR368W
27	22Dipyridyl	up	YIR007W
28	22Dipyridyl	up	YIL128W
29	22Dipyridyl	up	YLL009C
30	22Dipyridyl	up	YDL239C
121	22Dipyridyl	down	YOR031W
122	22Dipyridyl	down	YJR058C
123	22Dipyridyl	down	YDR015C
124	22Dipyridyl	down	YOR044W
125	22Dipyridyl	down	YKL177W
126	22Dipyridyl	down	YKL220C
127	22Dipyridyl	down	YMR003W
128	22Dipyridyl	down	YDL149W
129	22Dipyridyl	down	YMR111C
130	22Dipyridyl	down	YAL034C
131	22Dipyridyl	down	YML059C
132	22Dipyridyl	down	YOR298W
133	22Dipyridyl	down	YML047C
134	22Dipyridyl	down	YBR061C
135	22Dipyridyl	down	YDL100C
136	22Dipyridyl	down	YNL081C
137	22Dipyridyl	down	YIR039C
138	22Dipyridyl	down	YBL087C
139	22Dipyridyl	down	YLR421C
140	22Dipyridyl	down	YMR254C
141	22Dipyridyl	down	YJL168C
142	22Dipyridyl	down	YGL059W
143	22Dipyridyl	down	YMR075W
144	22Dipyridyl	down	YPL257W
145	22Dipyridyl	down	YLR015W
146	22Dipyridyl	down	YDR007W
147	22Dipyridyl	down	YPR141C
148	22Dipyridyl	down	YDR223W
149	22Dipyridyl	down	YJR110W
150	22Dipyridyl	down	YNL292W
151	22Dipyridyl	down	YNL286W
152	22Dipyridyl	down	YDL242W
153	22Dipyridyl	down	YCL014W
154	22Dipyridyl	down	YKL211C
155	22Dipyridyl	down	YBR008C
156	22Dipyridyl	down	YKL179C
157	22Dipyridyl	down	YDR313C
158	22Dipyridyl	down	YKL100C
